date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:41:56	76/76	---MCZ	200	added ('OK')	text/plain	date:Wed,%2015%20Nov%202023%2009:11:52%20GMT	https://easebuzz.in/robots.txt		(from )
14:41:57	218331/218331	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2009:11:52%20GMT	https://easebuzz.in/	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/index.html	(from )
14:41:58	3352/3352	---MCZ	200	added ('OK')	text/css	etag:W/%226447d066-d18%22	https://easebuzz.in/static/base/assets_aug_2021/css/home-owl-carousel.min.css	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/css/home-owl-carousel.min.css	(from https://easebuzz.in/)
14:41:58	1462/1462	---MCZ	200	added ('OK')	text/css	etag:W/%226447d066-5b6%22	https://easebuzz.in/static/base/assets_aug_2021/css/home-owl-theme.default.css	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/css/home-owl-theme.default.css	(from https://easebuzz.in/)
14:41:59	231244/231244	---M--	200	added ('OK')	image/png	etag:%224b2920ce72fdeb1c60d02b5a796d7a5e%22	https://ebz-static.s3.ap-south-1.amazonaws.com/easebuzz-static/easebuzz_technology_solutions.png	C:/My%20Web%20Sites/https___easebuzz.in_/ebz-static.s3.ap-south-1.amazonaws.com/easebuzz-static/easebuzz_technology_solutions.png	(from https://easebuzz.in/)
14:41:59	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/https___easebuzz.in_/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://easebuzz.in/)
14:42:00	245830/245830	---MCZ	200	added ('OK')	text/css	etag:W/%226447d066-3c046%22	https://easebuzz.in/static/base/assets_aug_2021/css/home-uikit.min.css	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/css/home-uikit.min.css	(from https://easebuzz.in/)
14:42:00	1718/1718	---MCZ	200	added ('OK')	text/css	etag:W/%226447d066-6b6%22	https://easebuzz.in/static/base/assets_aug_2021/css/home-slick.css	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/css/home-slick.css	(from https://easebuzz.in/)
14:42:00	37486/37486	---MCZ	200	added ('OK')	text/css	etag:W/%22654b7287-926e%22	https://easebuzz.in/static/base/assets_aug_2021/css/home_page_view_custom.css	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/css/home_page_view_custom.css	(from https://easebuzz.in/)
14:42:01	34376/34376	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e5c-8648%22	https://cdnjs.cloudflare.com/ajax/libs/fingerprintjs2/1.5.1/fingerprint2.min.js	C:/My%20Web%20Sites/https___easebuzz.in_/cdnjs.cloudflare.com/ajax/libs/fingerprintjs2/1.5.1/fingerprint2.min.js	(from https://easebuzz.in/)
14:42:01	751/751	---M--	200	added ('OK')	image/png	etag:%226447d066-2ef%22	https://easebuzz.in/static/base/assets_aug_2021/img/easebuzz/home/favicon.png	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/easebuzz/home/favicon.png	(from https://easebuzz.in/)
14:42:01	2194/2194	---MCZ	200	added ('OK')	text/css	etag:W/%226305f7ab-892%22	https://easebuzz.in/static/base/assets_aug_2021/css/dm-sans.css	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/css/dm-sans.css	(from https://easebuzz.in/)
14:42:01	2113/2113	---MCZ	200	added ('OK')	text/css	etag:W/%226305f7ab-841%22	https://easebuzz.in/static/base/assets_aug_2021/css/sen.css	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/css/sen.css	(from https://easebuzz.in/)
14:42:02	206749/206749	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2015%20Nov%202023%2009:11:58%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/https___easebuzz.in_/connect.facebook.net/en_US/fbevents.js	(from https://easebuzz.in/)
14:42:02	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2015%20Nov%202023%2009:11:58%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/https___easebuzz.in_/www.googletagmanager.com/gtm.c5445.delayed	(from https://easebuzz.in/)
14:42:09	27234/27234	---MCZ	200	added ('OK')	text/css	etag:W/%22654a4c6a-6a62%22	https://easebuzz.in/static/base/assets_aug_2021/css/custom.css?version=3	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/css/custom7fb8.css	(from https://easebuzz.in/)
14:42:09	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Mon,%2012%20Jun%202023%2018:23:07%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/https___easebuzz.in_/www.google-analytics.com/analytics.js	(from https://easebuzz.in/)
14:42:09	553003/553003	---MCZ	200	added ('OK')	text/css	etag:W/%2264ae9ca5-8702b%22	https://easebuzz.in/static/base/assets_aug_2021/css/main.css?version=3	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/css/main7fb8.css	(from https://easebuzz.in/)
14:42:09	628536/628536	---MCZ	200	added ('OK')	text/css	etag:W/%226305f7ab-99738%22	https://easebuzz.in/static/base/assets_aug_2021/css/semantic_ui_min.css	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/css/semantic_ui_min.css	(from https://easebuzz.in/)
